Date (GMT +11);testDataYear
07 Nov 2021 11:20:45;26.49,point {  fill-color: #F05323; }
07 Nov 2021 11:10:38;27.78,point {  fill-color: #F05323; }
07 Nov 2021 11:00:31;31.11,point {  fill-color: #F05323; }
07 Nov 2021 10:50:23;32.63,point {  fill-color: #F05323; }
07 Nov 2021 10:40:16;33.12,point {  fill-color: #F05323; }
07 Nov 2021 10:30:09;25.21,point {  fill-color: #F05323; }
07 Nov 2021 10:20:02;31.02,point {  fill-color: #F05323; }
07 Nov 2021 10:09:55;29.91,point {  fill-color: #F05323; }
07 Nov 2021 09:59:48;30.76,point {  fill-color: #F05323; }
07 Nov 2021 09:49:40;32.60,point {  fill-color: #F05323; }
07 Nov 2021 09:39:33;31.36,point {  fill-color: #F05323; }
07 Nov 2021 09:29:26;32.47,point {  fill-color: #F05323; }
07 Nov 2021 09:19:19;27.70,point {  fill-color: #F05323; }
07 Nov 2021 09:09:12;30.67,point {  fill-color: #F05323; }
07 Nov 2021 08:59:05;32.41,point {  fill-color: #F05323; }
08 Nov 2021 13:42:26;29.85,point {  fill-color: #F05323; }
08 Nov 2021 13:52:33;33.54,point {  fill-color: #F05323; }
08 Nov 2021 13:32:18;33.51,point {  fill-color: #F05323; }
08 Nov 2021 13:22:11;25.48,point {  fill-color: #F05323; }
08 Nov 2021 13:12:04;27.43,point {  fill-color: #F05323; }
08 Nov 2021 13:01:57;27.62,point {  fill-color: #F05323; }
08 Nov 2021 12:51:50;34.20,point {  fill-color: #F05323; }
08 Nov 2021 12:41:43;32.35,point {  fill-color: #F05323; }
08 Nov 2021 12:31:36;28.96,point {  fill-color: #F05323; }
08 Nov 2021 12:21:28;25.77,point {  fill-color: #F05323; }
08 Nov 2021 12:11:21;27.80,point {  fill-color: #F05323; }
08 Nov 2021 12:01:14;29.15,point {  fill-color: #F05323; }
08 Nov 2021 11:51:07;30.63,point {  fill-color: #F05323; }
08 Nov 2021 11:41:00;33.78,point {  fill-color: #F05323; }
08 Nov 2021 11:30:52;27.04,point {  fill-color: #F05323; }
08 Nov 2021 11:20:45;30.32,point {  fill-color: #F05323; }
08 Nov 2021 11:10:38;30.37,point {  fill-color: #F05323; }
08 Nov 2021 11:00:31;26.13,point {  fill-color: #F05323; }
08 Nov 2021 10:50:23;32.99,point {  fill-color: #F05323; }
08 Nov 2021 10:40:16;28.30,point {  fill-color: #F05323; }
08 Nov 2021 10:30:09;30.54,point {  fill-color: #F05323; }
08 Nov 2021 10:20:02;25.55,point {  fill-color: #F05323; }
08 Nov 2021 10:09:55;25.28,point {  fill-color: #F05323; }
08 Nov 2021 09:59:48;25.53,point {  fill-color: #F05323; }
08 Nov 2021 09:49:40;26.62,point {  fill-color: #F05323; }
08 Nov 2021 09:39:33;34.33,point {  fill-color: #F05323; }
08 Nov 2021 09:29:26;32.12,point {  fill-color: #F05323; }
08 Nov 2021 09:19:19;29.34,point {  fill-color: #F05323; }
08 Nov 2021 09:09:12;30.37,point {  fill-color: #F05323; }
08 Nov 2021 08:59:05;30.99,point {  fill-color: #F05323; }
09 Nov 2021 13:42:26;28.65,point {  fill-color: #F05323; }
09 Nov 2021 13:52:33;30.94,point {  fill-color: #F05323; }
09 Nov 2021 13:32:18;31.76,point {  fill-color: #F05323; }
09 Nov 2021 13:22:11;34.08,point {  fill-color: #F05323; }
09 Nov 2021 13:12:04;28.25,point {  fill-color: #F05323; }
09 Nov 2021 13:01:57;32.45,point {  fill-color: #F05323; }
09 Nov 2021 12:51:50;28.07,point {  fill-color: #F05323; }
09 Nov 2021 12:41:43;26.35,point {  fill-color: #F05323; }
09 Nov 2021 12:31:36;29.33,point {  fill-color: #F05323; }
09 Nov 2021 12:21:28;29.87,point {  fill-color: #F05323; }
09 Nov 2021 12:11:21;27.88,point {  fill-color: #F05323; }
09 Nov 2021 12:01:14;27.07,point {  fill-color: #F05323; }
09 Nov 2021 11:51:07;28.91,point {  fill-color: #F05323; }
09 Nov 2021 11:41:00;28.51,point {  fill-color: #F05323; }
09 Nov 2021 11:30:52;27.08,point {  fill-color: #F05323; }
09 Nov 2021 11:20:45;27.73,point {  fill-color: #F05323; }
09 Nov 2021 11:10:38;26.82,point {  fill-color: #F05323; }
09 Nov 2021 11:00:31;34.28,point {  fill-color: #F05323; }
09 Nov 2021 10:50:23;25.48,point {  fill-color: #F05323; }
09 Nov 2021 10:40:16;32.61,point {  fill-color: #F05323; }
09 Nov 2021 10:30:09;32.45,point {  fill-color: #F05323; }
09 Nov 2021 10:20:02;30.42,point {  fill-color: #F05323; }
09 Nov 2021 10:09:55;29.13,point {  fill-color: #F05323; }
09 Nov 2021 09:59:48;28.05,point {  fill-color: #F05323; }
09 Nov 2021 09:49:40;25.22,point {  fill-color: #F05323; }
09 Nov 2021 09:39:33;27.33,point {  fill-color: #F05323; }
09 Nov 2021 09:29:26;29.24,point {  fill-color: #F05323; }
09 Nov 2021 09:19:19;28.79,point {  fill-color: #F05323; }
09 Nov 2021 09:09:12;31.88,point {  fill-color: #F05323; }
09 Nov 2021 08:59:05;25.24,point {  fill-color: #F05323; }
10 Nov 2021 13:42:26;29.43,point {  fill-color: #F05323; }
10 Nov 2021 13:52:33;31.38,point {  fill-color: #F05323; }
10 Nov 2021 13:32:18;33.44,point {  fill-color: #F05323; }
10 Nov 2021 13:22:11;25.42,point {  fill-color: #F05323; }
10 Nov 2021 13:12:04;34.72,point {  fill-color: #F05323; }
10 Nov 2021 13:01:57;32.81,point {  fill-color: #F05323; }
10 Nov 2021 12:51:50;26.87,point {  fill-color: #F05323; }
10 Nov 2021 12:41:43;26.48,point {  fill-color: #F05323; }
10 Nov 2021 12:31:36;31.31,point {  fill-color: #F05323; }
10 Nov 2021 12:21:28;26.47,point {  fill-color: #F05323; }
10 Nov 2021 12:11:21;32.86,point {  fill-color: #F05323; }
10 Nov 2021 12:01:14;32.75,point {  fill-color: #F05323; }
10 Nov 2021 11:51:07;28.36,point {  fill-color: #F05323; }
10 Nov 2021 11:41:00;29.89,point {  fill-color: #F05323; }
10 Nov 2021 11:30:52;26.25,point {  fill-color: #F05323; }
10 Nov 2021 11:20:45;33.02,point {  fill-color: #F05323; }
10 Nov 2021 11:10:38;33.24,point {  fill-color: #F05323; }
10 Nov 2021 11:00:31;29.77,point {  fill-color: #F05323; }
10 Nov 2021 10:50:23;26.99,point {  fill-color: #F05323; }
10 Nov 2021 10:40:16;28.51,point {  fill-color: #F05323; }
10 Nov 2021 10:30:09;25.85,point {  fill-color: #F05323; }
10 Nov 2021 10:20:02;27.09,point {  fill-color: #F05323; }
10 Nov 2021 10:09:55;25.43,point {  fill-color: #F05323; }
10 Nov 2021 09:59:48;26.03,point {  fill-color: #F05323; }
10 Nov 2021 09:49:40;27.47,point {  fill-color: #F05323; }
10 Nov 2021 09:39:33;26.76,point {  fill-color: #F05323; }
10 Nov 2021 09:29:26;28.43,point {  fill-color: #F05323; }
10 Nov 2021 09:19:19;31.59,point {  fill-color: #F05323; }
10 Nov 2021 09:09:12;32.38,point {  fill-color: #F05323; }
10 Nov 2021 08:59:05;29.87,point {  fill-color: #F05323; }
11 Nov 2021 13:42:26;29.74,point {  fill-color: #F05323; }
11 Nov 2021 13:52:33;30.09,point {  fill-color: #F05323; }
11 Nov 2021 13:32:18;33.60,point {  fill-color: #F05323; }
11 Nov 2021 13:22:11;32.39,point {  fill-color: #F05323; }
11 Nov 2021 13:12:04;30.75,point {  fill-color: #F05323; }
11 Nov 2021 13:01:57;34.99,point {  fill-color: #F05323; }
11 Nov 2021 12:51:50;31.40,point {  fill-color: #F05323; }
11 Nov 2021 12:41:43;31.66,point {  fill-color: #F05323; }
11 Nov 2021 12:31:36;25.84,point {  fill-color: #F05323; }
11 Nov 2021 12:21:28;28.02,point {  fill-color: #F05323; }
11 Nov 2021 12:11:21;31.87,point {  fill-color: #F05323; }
11 Nov 2021 12:01:14;29.57,point {  fill-color: #F05323; }
11 Nov 2021 11:51:07;33.52,point {  fill-color: #F05323; }
11 Nov 2021 11:41:00;25.71,point {  fill-color: #F05323; }
11 Nov 2021 11:30:52;32.59,point {  fill-color: #F05323; }
11 Nov 2021 11:20:45;26.45,point {  fill-color: #F05323; }
11 Nov 2021 11:10:38;31.83,point {  fill-color: #F05323; }
11 Nov 2021 11:00:31;28.92,point {  fill-color: #F05323; }
11 Nov 2021 10:50:23;30.21,point {  fill-color: #F05323; }
11 Nov 2021 10:40:16;30.16,point {  fill-color: #F05323; }
11 Nov 2021 10:30:09;33.29,point {  fill-color: #F05323; }
11 Nov 2021 10:20:02;27.82,point {  fill-color: #F05323; }
11 Nov 2021 10:09:55;30.63,point {  fill-color: #F05323; }
11 Nov 2021 09:59:48;27.15,point {  fill-color: #F05323; }
11 Nov 2021 09:49:40;27.85,point {  fill-color: #F05323; }
11 Nov 2021 09:39:33;30.96,point {  fill-color: #F05323; }
11 Nov 2021 09:29:26;32.42,point {  fill-color: #F05323; }
11 Nov 2021 09:19:19;26.34,point {  fill-color: #F05323; }
11 Nov 2021 09:09:12;29.99,point {  fill-color: #F05323; }
11 Nov 2021 08:59:05;33.83,point {  fill-color: #F05323; }
12 Nov 2021 13:42:26;34.58,point {  fill-color: #F05323; }
12 Nov 2021 13:52:33;31.88,point {  fill-color: #F05323; }
12 Nov 2021 13:32:18;32.43,point {  fill-color: #F05323; }
12 Nov 2021 13:22:11;30.00,point {  fill-color: #F05323; }
12 Nov 2021 13:12:04;34.86,point {  fill-color: #F05323; }
12 Nov 2021 13:01:57;31.28,point {  fill-color: #F05323; }
12 Nov 2021 12:51:50;34.55,point {  fill-color: #F05323; }
12 Nov 2021 12:41:43;27.30,point {  fill-color: #F05323; }
12 Nov 2021 12:31:36;27.34,point {  fill-color: #F05323; }
12 Nov 2021 12:21:28;29.27,point {  fill-color: #F05323; }
12 Nov 2021 12:11:21;29.21,point {  fill-color: #F05323; }
12 Nov 2021 12:01:14;31.40,point {  fill-color: #F05323; }
12 Nov 2021 11:51:07;34.30,point {  fill-color: #F05323; }
12 Nov 2021 11:41:00;33.69,point {  fill-color: #F05323; }
12 Nov 2021 11:30:52;34.18,point {  fill-color: #F05323; }
12 Nov 2021 11:20:45;29.69,point {  fill-color: #F05323; }
12 Nov 2021 11:10:38;26.07,point {  fill-color: #F05323; }
12 Nov 2021 11:00:31;27.10,point {  fill-color: #F05323; }
12 Nov 2021 10:50:23;29.69,point {  fill-color: #F05323; }
12 Nov 2021 10:40:16;32.55,point {  fill-color: #F05323; }
12 Nov 2021 10:30:09;31.65,point {  fill-color: #F05323; }
12 Nov 2021 10:20:02;34.87,point {  fill-color: #F05323; }
12 Nov 2021 10:09:55;34.40,point {  fill-color: #F05323; }
12 Nov 2021 09:59:48;26.64,point {  fill-color: #F05323; }
12 Nov 2021 09:49:40;30.11,point {  fill-color: #F05323; }
12 Nov 2021 09:39:33;26.61,point {  fill-color: #F05323; }
12 Nov 2021 09:29:26;31.81,point {  fill-color: #F05323; }
12 Nov 2021 09:19:19;25.52,point {  fill-color: #F05323; }
12 Nov 2021 09:09:12;29.79,point {  fill-color: #F05323; }
12 Nov 2021 08:59:05;32.83,point {  fill-color: #F05323; }
13 Nov 2021 13:42:26;26.40,point {  fill-color: #F05323; }
13 Nov 2021 13:52:33;28.32,point {  fill-color: #F05323; }
13 Nov 2021 13:32:18;31.60,point {  fill-color: #F05323; }
13 Nov 2021 13:22:11;25.28,point {  fill-color: #F05323; }
13 Nov 2021 13:12:04;33.70,point {  fill-color: #F05323; }
13 Nov 2021 13:01:57;29.84,point {  fill-color: #F05323; }
13 Nov 2021 12:51:50;34.88,point {  fill-color: #F05323; }
13 Nov 2021 12:41:43;27.23,point {  fill-color: #F05323; }
13 Nov 2021 12:31:36;29.81,point {  fill-color: #F05323; }
13 Nov 2021 12:21:28;34.71,point {  fill-color: #F05323; }
13 Nov 2021 12:11:21;33.08,point {  fill-color: #F05323; }
13 Nov 2021 12:01:14;32.41,point {  fill-color: #F05323; }
13 Nov 2021 11:51:07;33.10,point {  fill-color: #F05323; }
13 Nov 2021 11:41:00;33.00,point {  fill-color: #F05323; }
13 Nov 2021 11:30:52;28.72,point {  fill-color: #F05323; }
13 Nov 2021 11:20:45;32.50,point {  fill-color: #F05323; }
13 Nov 2021 11:10:38;25.15,point {  fill-color: #F05323; }
13 Nov 2021 11:00:31;31.60,point {  fill-color: #F05323; }
13 Nov 2021 10:50:23;31.30,point {  fill-color: #F05323; }
13 Nov 2021 10:40:16;34.69,point {  fill-color: #F05323; }
13 Nov 2021 10:30:09;27.20,point {  fill-color: #F05323; }
13 Nov 2021 10:20:02;30.77,point {  fill-color: #F05323; }
13 Nov 2021 10:09:55;29.60,point {  fill-color: #F05323; }
13 Nov 2021 09:59:48;31.57,point {  fill-color: #F05323; }
13 Nov 2021 09:49:40;30.44,point {  fill-color: #F05323; }
13 Nov 2021 09:39:33;25.72,point {  fill-color: #F05323; }
13 Nov 2021 09:29:26;34.34,point {  fill-color: #F05323; }
13 Nov 2021 09:19:19;27.90,point {  fill-color: #F05323; }
13 Nov 2021 09:09:12;34.19,point {  fill-color: #F05323; }
13 Nov 2021 08:59:05;25.60,point {  fill-color: #F05323; }
14 Nov 2021 13:42:26;25.89,point {  fill-color: #F05323; }
14 Nov 2021 13:52:33;27.07,point {  fill-color: #F05323; }
14 Nov 2021 13:32:18;29.04,point {  fill-color: #F05323; }
14 Nov 2021 13:22:11;27.23,point {  fill-color: #F05323; }
14 Nov 2021 13:12:04;34.65,point {  fill-color: #F05323; }
14 Nov 2021 13:01:57;26.87,point {  fill-color: #F05323; }
14 Nov 2021 12:51:50;29.97,point {  fill-color: #F05323; }
14 Nov 2021 12:41:43;29.93,point {  fill-color: #F05323; }
14 Nov 2021 12:31:36;29.63,point {  fill-color: #F05323; }
14 Nov 2021 12:21:28;32.19,point {  fill-color: #F05323; }
14 Nov 2021 12:11:21;26.39,point {  fill-color: #F05323; }
14 Nov 2021 12:01:14;26.09,point {  fill-color: #F05323; }
14 Nov 2021 11:51:07;32.69,point {  fill-color: #F05323; }
14 Nov 2021 11:41:00;33.52,point {  fill-color: #F05323; }
14 Nov 2021 11:30:52;31.58,point {  fill-color: #F05323; }
14 Nov 2021 11:20:45;26.97,point {  fill-color: #F05323; }
14 Nov 2021 11:10:38;33.00,point {  fill-color: #F05323; }
14 Nov 2021 11:00:31;28.60,point {  fill-color: #F05323; }
14 Nov 2021 10:50:23;25.54,point {  fill-color: #F05323; }
14 Nov 2021 10:40:16;28.95,point {  fill-color: #F05323; }
14 Nov 2021 10:30:09;32.57,point {  fill-color: #F05323; }
14 Nov 2021 10:20:02;32.67,point {  fill-color: #F05323; }
14 Nov 2021 10:09:55;31.75,point {  fill-color: #F05323; }
14 Nov 2021 09:59:48;34.97,point {  fill-color: #F05323; }
14 Nov 2021 09:49:40;33.62,point {  fill-color: #F05323; }
14 Nov 2021 09:39:33;25.17,point {  fill-color: #F05323; }
14 Nov 2021 09:29:26;25.11,point {  fill-color: #F05323; }
14 Nov 2021 09:19:19;27.60,point {  fill-color: #F05323; }
14 Nov 2021 09:09:12;28.61,point {  fill-color: #F05323; }
14 Nov 2021 08:59:05;33.25,point {  fill-color: #F05323; }
15 Nov 2021 13:42:26;32.64,point {  fill-color: #F05323; }
15 Nov 2021 13:52:33;29.54,point {  fill-color: #F05323; }
15 Nov 2021 13:32:18;33.21,point {  fill-color: #F05323; }
15 Nov 2021 13:22:11;31.89,point {  fill-color: #F05323; }
15 Nov 2021 13:12:04;30.52,point {  fill-color: #F05323; }
15 Nov 2021 13:01:57;29.13,point {  fill-color: #F05323; }
15 Nov 2021 12:51:50;28.59,point {  fill-color: #F05323; }
15 Nov 2021 12:41:43;32.81,point {  fill-color: #F05323; }
15 Nov 2021 12:31:36;34.87,point {  fill-color: #F05323; }
15 Nov 2021 12:21:28;26.69,point {  fill-color: #F05323; }
15 Nov 2021 12:11:21;25.71,point {  fill-color: #F05323; }
15 Nov 2021 12:01:14;31.20,point {  fill-color: #F05323; }
15 Nov 2021 11:51:07;29.62,point {  fill-color: #F05323; }
15 Nov 2021 11:41:00;28.52,point {  fill-color: #F05323; }
15 Nov 2021 11:30:52;25.64,point {  fill-color: #F05323; }
15 Nov 2021 11:20:45;30.08,point {  fill-color: #F05323; }
15 Nov 2021 11:10:38;25.86,point {  fill-color: #F05323; }
15 Nov 2021 11:00:31;27.33,point {  fill-color: #F05323; }
15 Nov 2021 10:50:23;32.35,point {  fill-color: #F05323; }
15 Nov 2021 10:40:16;31.72,point {  fill-color: #F05323; }
15 Nov 2021 10:30:09;32.51,point {  fill-color: #F05323; }
15 Nov 2021 10:20:02;25.56,point {  fill-color: #F05323; }
15 Nov 2021 10:09:55;33.61,point {  fill-color: #F05323; }
15 Nov 2021 09:59:48;25.08,point {  fill-color: #F05323; }
15 Nov 2021 09:49:40;32.30,point {  fill-color: #F05323; }
15 Nov 2021 09:39:33;30.55,point {  fill-color: #F05323; }
15 Nov 2021 09:29:26;27.78,point {  fill-color: #F05323; }
15 Nov 2021 09:19:19;31.63,point {  fill-color: #F05323; }
15 Nov 2021 09:09:12;34.38,point {  fill-color: #F05323; }
15 Nov 2021 08:59:05;29.35,point {  fill-color: #F05323; }
16 Nov 2021 13:42:26;25.87,point {  fill-color: #F05323; }
16 Nov 2021 13:52:33;33.54,point {  fill-color: #F05323; }
16 Nov 2021 13:32:18;32.81,point {  fill-color: #F05323; }
16 Nov 2021 13:22:11;33.80,point {  fill-color: #F05323; }
16 Nov 2021 13:12:04;25.32,point {  fill-color: #F05323; }
16 Nov 2021 13:01:57;29.25,point {  fill-color: #F05323; }
16 Nov 2021 12:51:50;27.25,point {  fill-color: #F05323; }
16 Nov 2021 12:41:43;29.30,point {  fill-color: #F05323; }
16 Nov 2021 12:31:36;28.69,point {  fill-color: #F05323; }
16 Nov 2021 12:21:28;25.14,point {  fill-color: #F05323; }
16 Nov 2021 12:11:21;26.42,point {  fill-color: #F05323; }
16 Nov 2021 12:01:14;30.52,point {  fill-color: #F05323; }
16 Nov 2021 11:51:07;34.56,point {  fill-color: #F05323; }
16 Nov 2021 11:41:00;29.64,point {  fill-color: #F05323; }
16 Nov 2021 11:30:52;31.36,point {  fill-color: #F05323; }
16 Nov 2021 11:20:45;26.20,point {  fill-color: #F05323; }
16 Nov 2021 11:10:38;26.87,point {  fill-color: #F05323; }
16 Nov 2021 11:00:31;34.36,point {  fill-color: #F05323; }
16 Nov 2021 10:50:23;28.56,point {  fill-color: #F05323; }
16 Nov 2021 10:40:16;33.23,point {  fill-color: #F05323; }
16 Nov 2021 10:30:09;28.89,point {  fill-color: #F05323; }
16 Nov 2021 10:20:02;27.21,point {  fill-color: #F05323; }
16 Nov 2021 10:09:55;25.35,point {  fill-color: #F05323; }
16 Nov 2021 09:59:48;34.36,point {  fill-color: #F05323; }
16 Nov 2021 09:49:40;29.19,point {  fill-color: #F05323; }
16 Nov 2021 09:39:33;31.46,point {  fill-color: #F05323; }
16 Nov 2021 09:29:26;33.70,point {  fill-color: #F05323; }
16 Nov 2021 09:19:19;33.55,point {  fill-color: #F05323; }
16 Nov 2021 09:09:12;33.90,point {  fill-color: #F05323; }
16 Nov 2021 08:59:05;26.57,point {  fill-color: #F05323; }
17 Nov 2021 13:42:26;29.23,point {  fill-color: #F05323; }
17 Nov 2021 13:52:33;30.29,point {  fill-color: #F05323; }
17 Nov 2021 13:32:18;34.07,point {  fill-color: #F05323; }
17 Nov 2021 13:22:11;27.00,point {  fill-color: #F05323; }
17 Nov 2021 13:12:04;29.88,point {  fill-color: #F05323; }
17 Nov 2021 13:01:57;28.73,point {  fill-color: #F05323; }
17 Nov 2021 12:51:50;30.38,point {  fill-color: #F05323; }
17 Nov 2021 12:41:43;32.29,point {  fill-color: #F05323; }
17 Nov 2021 12:31:36;29.44,point {  fill-color: #F05323; }
17 Nov 2021 12:21:28;33.51,point {  fill-color: #F05323; }
17 Nov 2021 12:11:21;29.48,point {  fill-color: #F05323; }
17 Nov 2021 12:01:14;27.91,point {  fill-color: #F05323; }
17 Nov 2021 11:51:07;25.45,point {  fill-color: #F05323; }
17 Nov 2021 11:41:00;26.88,point {  fill-color: #F05323; }
17 Nov 2021 11:30:52;32.94,point {  fill-color: #F05323; }
17 Nov 2021 11:20:45;29.61,point {  fill-color: #F05323; }
17 Nov 2021 11:10:38;31.58,point {  fill-color: #F05323; }
17 Nov 2021 11:00:31;27.28,point {  fill-color: #F05323; }
17 Nov 2021 10:50:23;30.63,point {  fill-color: #F05323; }
17 Nov 2021 10:40:16;28.04,point {  fill-color: #F05323; }
17 Nov 2021 10:30:09;26.58,point {  fill-color: #F05323; }
17 Nov 2021 10:20:02;32.14,point {  fill-color: #F05323; }
17 Nov 2021 10:09:55;27.13,point {  fill-color: #F05323; }
17 Nov 2021 09:59:48;25.39,point {  fill-color: #F05323; }
17 Nov 2021 09:49:40;27.30,point {  fill-color: #F05323; }
17 Nov 2021 09:39:33;29.54,point {  fill-color: #F05323; }
17 Nov 2021 09:29:26;26.11,point {  fill-color: #F05323; }
17 Nov 2021 09:19:19;33.13,point {  fill-color: #F05323; }
17 Nov 2021 09:09:12;27.70,point {  fill-color: #F05323; }
17 Nov 2021 08:59:05;34.53,point {  fill-color: #F05323; }
18 Nov 2021 13:42:26;29.04,point {  fill-color: #F05323; }
18 Nov 2021 13:52:33;29.68,point {  fill-color: #F05323; }
18 Nov 2021 13:32:18;25.61,point {  fill-color: #F05323; }
18 Nov 2021 13:22:11;29.73,point {  fill-color: #F05323; }
18 Nov 2021 13:12:04;26.85,point {  fill-color: #F05323; }
18 Nov 2021 13:01:57;26.41,point {  fill-color: #F05323; }
18 Nov 2021 12:51:50;34.40,point {  fill-color: #F05323; }
18 Nov 2021 12:41:43;25.30,point {  fill-color: #F05323; }
18 Nov 2021 12:31:36;25.06,point {  fill-color: #F05323; }
18 Nov 2021 12:21:28;34.06,point {  fill-color: #F05323; }
18 Nov 2021 12:11:21;32.17,point {  fill-color: #F05323; }
18 Nov 2021 12:01:14;34.43,point {  fill-color: #F05323; }
18 Nov 2021 11:51:07;27.35,point {  fill-color: #F05323; }
18 Nov 2021 11:41:00;29.21,point {  fill-color: #F05323; }
18 Nov 2021 11:30:52;27.73,point {  fill-color: #F05323; }
18 Nov 2021 11:20:45;30.65,point {  fill-color: #F05323; }
18 Nov 2021 11:10:38;33.25,point {  fill-color: #F05323; }
18 Nov 2021 11:00:31;32.93,point {  fill-color: #F05323; }
18 Nov 2021 10:50:23;26.98,point {  fill-color: #F05323; }
18 Nov 2021 10:40:16;29.31,point {  fill-color: #F05323; }
18 Nov 2021 10:30:09;25.04,point {  fill-color: #F05323; }
18 Nov 2021 10:20:02;27.36,point {  fill-color: #F05323; }
18 Nov 2021 10:09:55;29.33,point {  fill-color: #F05323; }
18 Nov 2021 09:59:48;33.33,point {  fill-color: #F05323; }
18 Nov 2021 09:49:40;33.15,point {  fill-color: #F05323; }
18 Nov 2021 09:39:33;34.53,point {  fill-color: #F05323; }
18 Nov 2021 09:29:26;32.14,point {  fill-color: #F05323; }
18 Nov 2021 09:19:19;29.97,point {  fill-color: #F05323; }
18 Nov 2021 09:09:12;28.61,point {  fill-color: #F05323; }
18 Nov 2021 08:59:05;25.51,point {  fill-color: #F05323; }
19 Nov 2021 13:42:26;29.57,point {  fill-color: #F05323; }
19 Nov 2021 13:52:33;30.99,point {  fill-color: #F05323; }
19 Nov 2021 13:32:18;27.07,point {  fill-color: #F05323; }
19 Nov 2021 13:22:11;25.02,point {  fill-color: #F05323; }
19 Nov 2021 13:12:04;33.49,point {  fill-color: #F05323; }
19 Nov 2021 13:01:57;32.98,point {  fill-color: #F05323; }
19 Nov 2021 12:51:50;32.95,point {  fill-color: #F05323; }
19 Nov 2021 12:41:43;34.72,point {  fill-color: #F05323; }
19 Nov 2021 12:31:36;27.97,point {  fill-color: #F05323; }
19 Nov 2021 12:21:28;26.29,point {  fill-color: #F05323; }
19 Nov 2021 12:11:21;25.00,point {  fill-color: #F05323; }
19 Nov 2021 12:01:14;33.69,point {  fill-color: #F05323; }
19 Nov 2021 11:51:07;29.51,point {  fill-color: #F05323; }
19 Nov 2021 11:41:00;29.90,point {  fill-color: #F05323; }
19 Nov 2021 11:30:52;29.87,point {  fill-color: #F05323; }
19 Nov 2021 11:20:45;33.89,point {  fill-color: #F05323; }
19 Nov 2021 11:10:38;27.60,point {  fill-color: #F05323; }
19 Nov 2021 11:00:31;27.29,point {  fill-color: #F05323; }
19 Nov 2021 10:50:23;28.30,point {  fill-color: #F05323; }
19 Nov 2021 10:40:16;34.14,point {  fill-color: #F05323; }
